기준년월,유통기한사용여부,유해상품차단여부,식품여부,기부물품대분류코드,기부물품중분류코드,기부물품수량,장부금액
201703,Y,Y,N,일상용품,위생용품,0,0
201703,Y,N,Y,스포츠용품,음료류,1191,139834
201703,Y,N,Y,신선식품,수산물,0,0
201703,Y,N,Y,스포츠용품,농산물가공식품,7,20930
201703,Y,N,N,일상용품,애완용품,0,0
201703,Y,N,Y,스포츠용품,급식류,275,1081999.85
201704,N,N,Y,스포츠용품,조미료,43,951000
201704,N,N,Y,스포츠용품,도시락류,200,296000
201704,N,N,Y,스포츠용품,가공식품세트류,0,0
201704,N,N,Y,스포츠용품,대용식(빵),8740,9381931.2
201704,N,N,Y,스포츠용품,기타가공식품,26007,32363451.22
201704,N,N,Y,신선식품,농산물,435,2024000
201704,N,N,Y,신선식품,축산물,2,102720
201704,N,Y,Y,신선식품,축산물,0,0
201704,N,N,Y,신선식품,수산물,0,0
201704,N,N,Y,신선식품,축산물(냉동),0,0
201704,N,N,Y,신선식품,수산물(냉동),0,0
201704,N,N,Y,신선식품,기타신선식품,1372,6127960.36
201704,N,N,N,일상용품,위생용품,1792,5031627.18
201704,N,N,N,일상용품,일용잡화,0,0
201704,N,N,N,일상용품,화장품,0,0
201704,N,N,N,일상용품,DIY용품,0,0
201704,N,N,N,일상용품,기타일상용품,1016,5718000
201704,N,N,N,가정용품,주방용품,78,81250.26
201704,N,N,N,가정용품,청소/욕실용품,82,95366
201704,N,N,N,가정용품,세탁용품,0,0
201704,N,N,N,가정용품,생활용품,3686,6545391.24
201704,N,N,N,가정용품,침실용품,0,0
201704,N,N,N,가정용품,실내인테리어용품,0,0
201704,N,N,N,가정용품,가정용품세트류,0,0
201704,N,N,N,가정용품,기타가정용품,0,0
201704,N,N,N,의약품/의료용품,의약품,0,0
201704,N,N,N,의약품/의료용품,의료용품,0,0
201704,N,N,N,문화용품,문구/사무용품,0,0
201704,N,N,N,문화용품,완구,0,0
201704,N,N,N,문화용품,서적,979,8684324.27
201704,N,N,N,문화용품,음반/비디오,0,0
201704,N,N,N,문화용품,기타 문화용품,0,0
201704,N,N,N,내구소비재,가전,0,0
201704,N,N,N,내구소비재,가구,0,0
201704,N,N,N,내구소비재,자동차용품,0,0
201704,N,N,N,내구소비재,기타 내구소비재,0,0
201704,N,N,N,의류/패션잡화,의류,16,32000
201704,N,N,N,의류/패션잡화,패션잡화,7,10500
201704,N,N,N,의류/패션잡화,신발,103,10094000
201704,N,N,N,의류/패션잡화,언더웨어/양말,0,0
201704,N,N,N,의류/패션잡화,기타의류/잡화,0,0
201704,N,N,N,,헬스용품,0,0
201704,N,N,N,기타상품,기타,0,0
201704,N,N,Y,스포츠용품,유제품,0,0
201704,N,N,Y,스포츠용품,축산가공식품,127,562000.07
201704,N,N,Y,스포츠용품,수산가공식품,0,0
201704,N,N,Y,스포츠용품,대용식기타,6,13141
201704,N,N,Y,스포츠용품,통조림/병,201,275780
201704,N,N,Y,스포츠용품,냉동식품,6,21720
201704,N,N,Y,스포츠용품,절임/발효식품,0,0
201704,N,Y,Y,스포츠용품,절임/발효식품,0,0
201704,N,N,Y,스포츠용품,어육/연식품류,0,0
201704,N,N,Y,스포츠용품,분말류,191,310948
201704,N,N,Y,스포츠용품,즉석/편의식품,362,769300
201704,N,N,Y,스포츠용품,유아식품,0,0
201704,N,N,Y,스포츠용품,건강식품,0,0
201704,N,N,Y,스포츠용품,과자류,53260,128487087
201704,N,N,Y,스포츠용품,음료류,30977,13944038.46
201704,N,N,Y,스포츠용품,농산물가공식품,0,0
201704,N,N,Y,스포츠용품,급식류,0,0
201704,Y,N,Y,스포츠용품,조미료,1090,2925781
201704,Y,Y,Y,스포츠용품,조미료,1,2530
201704,Y,N,Y,신선식품,축산물(냉동),0,0
201704,Y,N,Y,스포츠용품,유제품,10982,10982000
201704,Y,N,Y,스포츠용품,도시락류,0,0
201704,Y,N,Y,스포츠용품,축산가공식품,200,396000
201704,Y,Y,Y,스포츠용품,축산가공식품,0,0
201704,Y,N,N,의약품/의료용품,의약품,0,0
201704,Y,N,Y,스포츠용품,수산가공식품,217,1048040
201704,Y,Y,Y,스포츠용품,수산가공식품,0,0
201704,Y,N,Y,스포츠용품,가공식품세트류,0,0
201704,Y,N,Y,스포츠용품,대용식기타,1371,1962925
201704,Y,N,Y,신선식품,수산물(냉동),0,0
201704,Y,N,Y,스포츠용품,통조림/병,166,469060
201704,Y,Y,Y,스포츠용품,통조림/병,0,0
201704,Y,N,Y,스포츠용품,대용식(빵),16926,32244758.44
201704,Y,N,Y,스포츠용품,냉동식품,120,398000
201704,Y,Y,Y,스포츠용품,냉동식품,0,0
201704,Y,N,Y,신선식품,신선식품세트류,0,0
201704,Y,N,Y,스포츠용품,기타가공식품,236,639968
201704,Y,N,Y,스포츠용품,절임/발효식품,0,0
201704,Y,Y,Y,스포츠용품,기타가공식품,0,0
201704,Y,N,Y,스포츠용품,어육/연식품류,0,0
201704,Y,N,N,일상용품,애완용품,0,0
201704,Y,N,Y,스포츠용품,분말류,664,1197712
201704,Y,N,Y,신선식품,농산물,96,1785408
201704,Y,N,Y,스포츠용품,즉석/편의식품,600,795043
201704,Y,Y,Y,스포츠용품,즉석/편의식품,0,0
201704,Y,N,Y,신선식품,기타신선식품,50,2500000
201704,Y,N,Y,스포츠용품,유아식품,0,0
201704,Y,Y,Y,스포츠용품,유아식품,0,0
201704,Y,N,N,일상용품,화장품,5014,27536442
201704,Y,N,Y,스포츠용품,건강식품,0,0
201704,Y,N,Y,신선식품,축산물,0,0
201704,Y,N,Y,스포츠용품,과자류,192,264960
201704,Y,N,N,일상용품,위생용품,848,2025861.15
201704,Y,N,Y,스포츠용품,음료류,12172,15887885.47
201704,Y,N,Y,신선식품,수산물,0,0
201704,Y,N,Y,스포츠용품,농산물가공식품,0,0
201704,Y,Y,N,일상용품,위생용품,0,0
201704,Y,N,Y,스포츠용품,급식류,833,2932500
201704,Y,N,Y,스포츠용품,유가공품,0,0
201705,N,N,Y,스포츠용품,조미료,34,104390
201705,N,Y,Y,신선식품,농산물,0,0
201705,N,N,Y,신선식품,축산물,0,0
201705,N,Y,Y,신선식품,축산물,0,0
201705,N,N,Y,신선식품,수산물,170,272000
201705,N,N,Y,신선식품,축산물(냉동),0,0
201705,N,N,Y,신선식품,수산물(냉동),0,0
201705,N,N,Y,신선식품,기타신선식품,284,1579781.24
201705,N,N,N,일상용품,위생용품,232,717600
201705,N,N,N,일상용품,일용잡화,17,340000
201705,N,N,N,일상용품,화장품,380,4560000
201705,N,N,N,일상용품,DIY용품,0,0
201705,N,N,N,일상용품,기타일상용품,1502,3987284.18
201705,N,N,N,가정용품,주방용품,346,1219500
201705,N,N,N,가정용품,청소/욕실용품,12,33696
201705,N,Y,N,가정용품,청소/욕실용품,0,0
201705,N,N,N,가정용품,세탁용품,0,0
201705,N,N,N,가정용품,생활용품,1193,2647741.82
201705,N,N,N,가정용품,침실용품,0,0
201705,N,N,N,가정용품,실내인테리어용품,0,0
201705,N,N,N,가정용품,가정용품세트류,0,0
201705,N,N,N,가정용품,기타가정용품,0,0
201705,N,N,N,의약품/의료용품,의약품,0,0
201705,N,N,N,의약품/의료용품,의료용품,0,0
201705,N,N,N,문화용품,문구/사무용품,100,251500
201705,N,N,N,문화용품,완구,0,0
201705,N,N,N,문화용품,서적,655,9680382.55
201705,N,N,N,문화용품,악기,0,0
201705,N,N,N,문화용품,음반/비디오,0,0
201705,N,N,N,문화용품,기타 문화용품,0,0
201705,N,N,N,내구소비재,가전,8,8000
201705,N,N,N,내구소비재,자동차용품,0,0
201705,N,N,N,의류/패션잡화,의류,3454,186203856.16
201705,N,N,N,의류/패션잡화,패션잡화,600,7800000
201705,N,N,N,의류/패션잡화,신발,0,0
201705,N,N,N,의류/패션잡화,언더웨어/양말,0,0
201705,N,N,N,,구기 스포츠용품,0,0
201705,N,N,N,,헬스용품,0,0
201705,N,N,N,,레저스포츠용품,0,0
201705,N,N,N,기타상품,기타,0,0
201705,N,Y,N,기타상품,기타,0,0
201705,N,N,Y,스포츠용품,유제품,33,124567
201705,N,N,Y,스포츠용품,축산가공식품,29,460435
201705,N,Y,Y,스포츠용품,축산가공식품,0,0
201705,N,N,Y,스포츠용품,수산가공식품,0,0
201705,N,N,Y,스포츠용품,대용식기타,288,357177.24
201705,N,N,Y,스포츠용품,통조림/병,214,672490.72
201705,N,N,Y,스포츠용품,냉동식품,9,43672
201705,N,N,Y,스포츠용품,절임/발효식품,63,630000
201705,N,Y,Y,스포츠용품,절임/발효식품,0,0
201705,N,N,Y,스포츠용품,어육/연식품류,0,0
201705,N,N,Y,스포츠용품,분말류,0,0
201705,N,N,Y,스포츠용품,즉석/편의식품,596,507034
201705,N,N,Y,스포츠용품,유아식품,0,0
201705,N,N,Y,스포츠용품,건강식품,374,1043640
201705,N,N,Y,스포츠용품,과자류,0,0
201705,N,Y,Y,스포츠용품,과자류,0,0
201705,N,N,Y,스포츠용품,음료류,11049,3633846.35
201705,N,N,Y,스포츠용품,농산물가공식품,0,0
201705,N,N,Y,스포츠용품,급식류,0,0
201705,N,N,Y,스포츠용품,도시락류,0,0
201705,N,N,Y,스포츠용품,가공식품세트류,0,0
201705,N,N,Y,스포츠용품,대용식(빵),333,977700.04
201705,N,N,Y,스포츠용품,기타가공식품,23187,30795732.43
201705,N,N,Y,신선식품,농산물,131,1628500
201705,Y,N,Y,스포츠용품,조미료,3556,8318054.98
201705,Y,Y,Y,스포츠용품,조미료,8,22088
201705,Y,N,Y,스포츠용품,유가공품,0,0
201705,Y,N,Y,스포츠용품,유제품,0,0
201705,Y,N,Y,신선식품,축산물(냉동),0,0
201705,Y,N,Y,스포츠용품,도시락류,0,0
201705,Y,N,Y,스포츠용품,축산가공식품,45,140204.5
201705,Y,Y,Y,스포츠용품,축산가공식품,0,0
201705,Y,N,N,기타상품,기타,0,0
201705,Y,N,Y,스포츠용품,수산가공식품,356,491542
201705,Y,N,Y,스포츠용품,가공식품세트류,0,0
201705,Y,N,Y,스포츠용품,대용식기타,877,1810269
201705,Y,N,Y,신선식품,수산물(냉동),0,0
201705,Y,N,Y,스포츠용품,통조림/병,78,210113
201705,Y,N,Y,스포츠용품,대용식(빵),21401,33433549.9
201705,Y,N,Y,스포츠용품,냉동식품,108,481125.04
201705,Y,N,Y,신선식품,신선식품세트류,0,0
201705,Y,N,Y,스포츠용품,기타가공식품,420,1288123.8
201705,Y,N,Y,스포츠용품,절임/발효식품,0,0
201705,Y,Y,Y,스포츠용품,절임/발효식품,0,0
201705,Y,N,N,일상용품,화장품,883,9661000
201705,Y,N,Y,스포츠용품,어육/연식품류,0,0
201705,Y,N,Y,신선식품,기타신선식품,0,0
201705,Y,N,Y,스포츠용품,분말류,293,392984.96
201705,Y,N,Y,신선식품,농산물,1415,15639139.99
201705,Y,N,Y,스포츠용품,즉석/편의식품,778,2081397.82
201705,Y,Y,Y,스포츠용품,즉석/편의식품,0,0
201705,Y,Y,Y,신선식품,농산물,0,0
201705,Y,N,Y,스포츠용품,유아식품,0,0
201705,Y,N,N,의약품/의료용품,의약품,0,0
